wave,posterior,var,xwaveid
2,0.0531,losatfs,0100483
3,0.0374,losatfs,0100483
4,0.0427,losatfs,0100483
5,0.0452,losatfs,0100483
6,0.0699,losatfs,0100483
7,0,losatfs,0100483
8,0,losatfs,0100483
-6,0,losatft,0100483
-5,0,losatft,0100483
-4,0,losatft,0100483
-3,0.0366,losatft,0100483
-2,0.0396,losatft,0100483
-1,0.0382,losatft,0100483
0,0.0324,losatft,0100483
1,0.0429,losatft,0100483
2,0.0363,losatft,0100483
3,0.0329,losatft,0100483
4,0.0428,losatft,0100483
5,0.0404,losatft,0100483
6,0.0465,losatft,0100483
7,0,losatft,0100483
8,0,losatft,0100483
-6,0,losathl,0100483
-5,0,losathl,0100483
-4,0,losathl,0100483
-3,0.0654,losathl,0100483
-2,0.0374,losathl,0100483
-1,0.0877,losathl,0100483
0,0.0673,losathl,0100483
1,0.0714,losathl,0100483
2,0.1155,losathl,0100483
3,0.0522,losathl,0100483
4,0.1212,losathl,0100483
5,0.052,losathl,0100483
6,0.0943,losathl,0100483
7,0,losathl,0100483
8,0,losathl,0100483
-6,0,losatlc,0100483
-5,0,losatlc,0100483
-4,0,losatlc,0100483
-3,0.1108,losatlc,0100483
-2,0.2064,losatlc,0100483
-1,0.0987,losatlc,0100483
0,0.0842,losatlc,0100483
1,0.0809,losatlc,0100483
2,0.07,losatlc,0100483
3,0.0774,losatlc,0100483
4,0.0399,losatlc,0100483
5,0.0388,losatlc,0100483
6,0.0459,losatlc,0100483
7,0,losatlc,0100483
8,0,losatlc,0100483
-6,0,losatnl,0100483
-5,0,losatnl,0100483
-4,0,losatnl,0100483
-3,0.081,losatnl,0100483
-2,0.0962,losatnl,0100483
-1,0.053,losatnl,0100483
0,0.0909,losatnl,0100483
1,0.0561,losatnl,0100483
2,0.0771,losatnl,0100483
3,0.0782,losatnl,0100483
4,0.0638,losatnl,0100483
5,0.123,losatnl,0100483
6,0.0723,losatnl,0100483
7,0,losatnl,0100483
8,0,losatnl,0100483
-6,0,losatsf,0100483
-5,0,losatsf,0100483
-4,0,losatsf,0100483
-3,0.1358,losatsf,0100483
-2,0.3188,losatsf,0100483
-1,0.0643,losatsf,0100483
0,0.1692,losatsf,0100483
1,0.0793,losatsf,0100483
2,0.1374,losatsf,0100483
3,0.1336,losatsf,0100483
4,0.1125,losatsf,0100483
5,0.1491,losatsf,0100483
6,0.1177,losatsf,0100483
7,0,losatsf,0100483
8,0,losatsf,0100483
-6,0,losatyh,0100483
-5,0,losatyh,0100483
-4,0,losatyh,0100483
-3,0.0503,losatyh,0100483
-2,0.0628,losatyh,0100483
-1,0.0447,losatyh,0100483
0,0.0242,losatyh,0100483
1,0.0419,losatyh,0100483
2,0.0402,losatyh,0100483
3,0.0594,losatyh,0100483
4,0.0406,losatyh,0100483
5,0.0471,losatyh,0100483
6,0.1408,losatyh,0100483
7,0,losatyh,0100483
8,0,losatyh,0100483
-6,0,lssupac,0100483
-5,0,lssupac,0100483
-4,0,lssupac,0100483
-3,0.0443,lssupac,0100483
-2,0.0241,lssupac,0100483
-1,0.016,lssupac,0100483
0,0.012,lssupac,0100483
1,0.0075,lssupac,0100483
2,0.0067,lssupac,0100483
3,0.0035,lssupac,0100483
4,0.007,lssupac,0100483
5,0.0063,lssupac,0100483
6,0.0066,lssupac,0100483
7,0,lssupac,0100483
8,0,lssupac,0100483
-6,0,lssuplt,0100483
-5,0,lssuplt,0100483
-4,0,lssuplt,0100483
-3,0.0019,lssuplt,0100483
-2,4e-4,lssuplt,0100483
-1,0.0013,lssuplt,0100483
0,7e-4,lssuplt,0100483
1,0.0011,lssuplt,0100483
2,7e-4,lssuplt,0100483
3,3e-4,lssuplt,0100483
4,7e-4,lssuplt,0100483
5,0,lssuplt,0100483
6,0,lssuplt,0100483
7,0,lssuplt,0100483
8,0,lssuplt,0100483
-6,0,lssupnh,0100483
-5,0,lssupnh,0100483
-4,0,lssupnh,0100483
-3,8e-4,lssupnh,0100483
-2,3e-4,lssupnh,0100483
-1,6e-4,lssupnh,0100483
0,3e-4,lssupnh,0100483
1,1e-4,lssupnh,0100483
2,3e-4,lssupnh,0100483
3,6e-4,lssupnh,0100483
4,2e-4,lssupnh,0100483
5,7e-4,lssupnh,0100483
6,0.0015,lssupnh,0100483
7,0,lssupnh,0100483
8,0,lssupnh,0100483
-6,0,lssupvl,0100483
-5,0,lssupvl,0100483
-4,0,lssupvl,0100483
-3,4e-4,lssupvl,0100483
-2,3e-4,lssupvl,0100483
-1,1e-4,lssupvl,0100483
0,0,lssupvl,0100483
1,7e-4,lssupvl,0100483
2,0,lssupvl,0100483
3,7e-4,lssupvl,0100483
4,2e-4,lssupvl,0100483
5,0,lssupvl,0100483
6,4e-4,lssupvl,0100483
7,0,lssupvl,0100483
8,0,lssupvl,0100483
-6,0,ghmh,0100674
-5,0,ghmh,0100674
-4,0,ghmh,0100674
-3,0.4484,ghmh,0100674
-2,0.0997,ghmh,0100674
-1,0.5056,ghmh,0100674
0,0.1616,ghmh,0100674
1,0.5978,ghmh,0100674
2,0.1787,ghmh,0100674
3,0.3683,ghmh,0100674
4,0.2591,ghmh,0100674
5,0.1797,ghmh,0100674
6,0.2866,ghmh,0100674
7,0,ghmh,0100674
8,0,ghmh,0100674
-6,0,losat,0100674
-5,0,losat,0100674
-4,0,losat,0100674
-3,0.5482,losat,0100674
-2,0.0909,losat,0100674
-1,0.5577,losat,0100674
0,0.238,losat,0100674
1,0.4133,losat,0100674
2,0.4291,losat,0100674
3,0.1395,losat,0100674
4,0.3812,losat,0100674
5,0.1149,losat,0100674
6,0.2957,losat,0100674
7,0,losat,0100674
8,0,losat,0100674
-6,0,losateo,0100674
-5,0,losateo,0100674
-4,0,losateo,0100674
-3,0.0717,losateo,0100674
-2,0.0778,losateo,0100674
-1,0.0611,losateo,0100674
0,0.0545,losateo,0100674
1,0.0402,losateo,0100674
2,0.0475,losateo,0100674
3,0.044,losateo,0100674
4,0.0522,losateo,0100674
5,0.0325,losateo,0100674
6,0.0608,losateo,0100674
7,0,losateo,0100674
8,0,losateo,0100674
-6,0,losatfs,0100674
-5,0,losatfs,0100674
-4,0,losatfs,0100674
-3,0.1263,losatfs,0100674
-2,0.0579,losatfs,0100674
-1,0.0649,losatfs,0100674
0,0.0456,losatfs,0100674
1,0.0592,losatfs,0100674
2,0.0416,losatfs,0100674
3,0.0982,losatfs,0100674
4,0.0528,losatfs,0100674
5,0.0653,losatfs,0100674
6,0.0572,losatfs,0100674
7,0,losatfs,0100674
8,0,losatfs,0100674
-6,0,losatft,0100674
-5,0,losatft,0100674
-4,0,losatft,0100674
-3,0.2022,losatft,0100674
-2,0.0439,losatft,0100674
-1,0.1421,losatft,0100674
0,0.0737,losatft,0100674
1,0.0907,losatft,0100674
2,0.1265,losatft,0100674
3,0.0678,losatft,0100674
4,0.0999,losatft,0100674
5,0.07,losatft,0100674
6,0.1913,losatft,0100674
7,0,losatft,0100674
8,0,losatft,0100674
-6,0,losathl,0100674
-5,0,losathl,0100674
-4,0,losathl,0100674
-3,0.1475,losathl,0100674
-2,0.0764,losathl,0100674
-1,0.0795,losathl,0100674
0,0.1012,losathl,0100674
1,0.2027,losathl,0100674
2,0.1262,losathl,0100674
